Tiêu đề,Giá,Diện tích,Giá/m²,Phòng ngủ,WC,Địa điểm
"Giảm giá 5 tỷ! Bán gấp tòa nhà văn phòng Đào Duy Anh, HĐ thuê 100 triệu/tháng","36,5 tỷ",121 m²,"301,65 tr/m²",,,"Phú Nhuận, Hồ Chí Minh"
"Bán nhà Nguyễn Đình Chính, P11, quận Phú Nhuận - 4 tầng 95.2m2 (7 x 15m) chỉ 15.49 tỷ (TL mạnh)","15,49 tỷ","95,2 m²","162,71 tr/m²",4 Phòng ngủ,4 WC,"Phú Nhuận, Hồ Chí Minh"
"Chính chủ cần bán nhà 4 tầng tại Minh Khai, Bắc Từ Liêm, Hà Nội","6,9 tỷ",34 m²,"202,94 tr/m²",,,"Bắc Từ Liêm, Hà Nội"
Nhà tôi tự xây thiết kế đa năng vừa ở vừa kinh doanh 7tầng thang máy nhỉnh 20 tỷ,20 tỷ,75 m²,"266,67 tr/m²",4 Phòng ngủ,7 WC,"Đống Đa, Hà Nội"
"Nhà phố Phạm Ngọc Thạch, phân lô, ô tô tránh, vỉ hè rộng kinh doanh, nhà đẹp, 2 mặt thoáng, 10,4 tỷ","10,4 tỷ",38 m²,"273,68 tr/m²",4 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"(Bình Thạnh) Hẻm ô tô Xô Viết Nghệ Tĩnh Phường 25. Gần ngã tư Hàng Xanh, sổ riêng, giá 4 tỷ 250","4,25 tỷ",72 m²,"59,03 tr/m²",4 Phòng ngủ,5 WC,"Bình Thạnh, Hồ Chí Minh"
"Bán toà nhà 9 tầng diện tích 120m2 tại phố Hạ Hồi, Quận Hoàn Kiếm, giá 62 tỷ, có gara ô tô",62 tỷ,120 m²,"516,67 tr/m²",10 Phòng ngủ,12 WC,"Hoàn Kiếm, Hà Nội"
"Bán căn hộ dịch vụ tại Huỳnh Tấn Phát Q7 giá 33 tỷ, 220m2 đất thiết kế 48 phòng, doanh thu 180tr/th",33 tỷ,220 m²,150 tr/m²,48 Phòng ngủ,48 WC,"Quận 7, Hồ Chí Minh"
"Bán nhà riêng 46m2, 9,3 tỷ, 4PN, 4WC tại Bùi Xương Trạch, Thanh Xuân, Hà Nội, Chính chủ uy tín","9,3 tỷ",46 m²,"202,17 tr/m²",4 Phòng ngủ,4 WC,"Thanh Xuân, Hà Nội"
HOÀNG QUỐC VIỆT - Ô TÔ TRÁNH - DỪNG ĐỖ - KINH DOANH NGÀY ĐÊM - Ô CHỜ THANG MÁY - 60M 5T MT 4.8M.,"22,5 tỷ",60 m²,375 tr/m²,5 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
Bán nhà riêng Vạn Phúc Hà Đông 40m2 x 5 tầng ô tô thang máy ngõ thông 2 thoáng giá chỉ hơn 10 tỷ,"10,6 tỷ",40 m²,265 tr/m²,,,"Hà Đông, Hà Nội"
SIÊU PHẨM LONG BIÊN - LÕI NGỌC LÂM - LÔ GÓC - 10M RA MẶT PHỐ - TRUNG TÂM ẨM THỰC LONG BIÊN,"7,9 tỷ",40 m²,"197,5 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán căn 36m2, 4 tầng, sổ đỏ chính chủ tại phố Giáp Nhị, Thịnh Liệt Hoàng Mai","6,8 tỷ",36 m²,"188,89 tr/m²",4 Phòng ngủ,5 WC,"Hoàng Mai, Hà Nội"
Chính chủ cần bán khách sạn Hoà Phát quận Thủ Đức. 6 tầng 525m2. Giá thương lượng tốt,78 tỷ,525 m²,"148,57 tr/m²",30 Phòng ngủ,35 WC,"Thủ Đức, Hồ Chí Minh"
Bán nhà riêng tại xã Trạm Hành,"6,12 tỷ",340 m²,18 tr/m²,2 Phòng ngủ,1 WC,"Đà Lạt, Lâm Đồng"
"Bán đất Đức Giang, Ngô Gia Tự, 55m, 4,5m mặt tiền nhỉnh 9 tỷ. Đường ô tô vào nhà","8,9 tỷ",55 m²,"161,82 tr/m²",1 Phòng ngủ,1 WC,"Long Biên, Hà Nội"
"Cần bán gấp nhà Nguyễn Chí Thanh, 2 ô tô trong nhà, tầm tiền khu vực ô tô hiếm đấy, xem ngay kẻo lỡ","17,5 tỷ",45 m²,"388,89 tr/m²",8 Phòng ngủ,6 WC,"Ba Đình, Hà Nội"
"Bán Nhà Riêng đẹp tại Huyện Lộ 173, Xã Tường Đa, Châu Thành, Bến Tre, 6 tỷ, 1900m2",6 tỷ,1.900 m²,"3,16 tr/m²",3 Phòng ngủ,3 WC,"Châu Thành, Bến Tre"
"Chỉ 390tr nhận ngay nhà 1 trệt 1 lửng đúc sân xe hơi Sổ Riêng Thổ Cư, Gần trường Cơ Giới Cơ Sở 2","1,55 tỷ",100 m²,"15,5 tr/m²",3 Phòng ngủ,2 WC,"Vĩnh Cửu, Đồng Nai"
"Bán nhà mới 4 tầng ngay sau quận ủy Bắc Từ Liêm, oto đỗ cách nhà 30m,vị trí đẹp, thuận tiện đi lại","6,9 tỷ",45 m²,"153,33 tr/m²",4 Phòng ngủ,,"Bắc Từ Liêm, Hà Nội"
"Cần bán nhà 5 tầng HXH Lê Văn Sỹ thông Trường Sa, Quận 3 - Ngang 4.5m. Đang cho thuê 40 tr/tháng","13,3 tỷ",76 m²,175 tr/m²,10 Phòng ngủ,11 WC,"Quận 3, Hồ Chí Minh"
"CHÍNH CHỦ BÁN NHÀ PHÂN LÔ VỈA HÈ PHỐ NGUYÊN HỒNG - HUỲNH THÚC KHÁNG 66M2 - MT5,41 - 26 TỶ",26 tỷ,66 m²,"393,94 tr/m²",,,"Đống Đa, Hà Nội"
Nhà Cấp 4 vị trí đẹp - Tiện xây mới - 262 Lũy Bán Bích - 55m2 (Ngang 5.5m) - Sổ Vuông,"3,9 tỷ",55 m²,"70,91 tr/m²",2 Phòng ngủ,2 WC,"Tân Phú, Hồ Chí Minh"
Siêu phẩm Nghĩa Đô Cầu Giấy. Phân lô ô tô. 50m2 x 6 tầng thang máy giá chào chỉ 11 tỷ hơn xíu,11 tỷ,50 m²,220 tr/m²,8 Phòng ngủ,,"Cầu Giấy, Hà Nội"
"Bán nhà 1 trệt lầu sân đậu ô tô trong nhà đường Nơ Trang Long,P13,Quận Bình Thạnh,TP HCM","6,8 tỷ",53 m²,"128,3 tr/m²",3 Phòng ngủ,3 WC,"Bình Thạnh, Hồ Chí Minh"
"Bán nhà HXH, Phường Linh Chiểu, Tp Thủ Đức, ngay Vincom - Võ Văn Ngân - 76m2 - Giá 5,68 tỷ TL)","5,68 tỷ",76 m²,"74,74 tr/m²",3 Phòng ngủ,3 WC,"Thủ Đức, Hồ Chí Minh"
"Cần tiền bán gấp nhà riêng 4PN, 4WC, 56m2 tại Phạm Văn Bạch, p12, Gò Vấp, HCM, 7,5 tỷ","7,5 tỷ",56 m²,"133,93 tr/m²",4 Phòng ngủ,4 WC,"Gò Vấp, Hồ Chí Minh"
"Bán nhà HXH 106/4 Ba Vân, P.14, DT: 5,1m x 13m, 3 tầng. Nhỉnh 8 tỷ bán nhanh","8,7 tỷ",65 m²,"133,85 tr/m²",2 Phòng ngủ,3 WC,"Tân Bình, Hồ Chí Minh"
"Bán nhà đẹp ở liền, tặng nội thất .Hẻm 870 lạc long quân, 4x12m. 4 tầng chỉ 7tỷ8 thương lượng. Hh1%","7,8 tỷ",48 m²,"162,5 tr/m²",,,"Tân Bình, Hồ Chí Minh"
CHÍNH CHỦ NHỜ BÁN CĂN DÒNG TIỀN KHỦNG PHỐ TRUNG PHỤNG 70m x 7 tầng THANG MÁY MT7m Chỉ nhỉnh 24 tỷ,"24,68 tỷ",70 m²,"352,57 tr/m²",20 Phòng ngủ,20 WC,"Đống Đa, Hà Nội"
"Nhà hẻm 154 Nguyễn Biểu, P,2,Q.5.Dt 3x14, Trệt,lửng, lầu. Giá 6,95 tỷ","6,95 tỷ",42 m²,"165,48 tr/m²",,,"Quận 5, Hồ Chí Minh"
"BÁN NHÀ ĐƯỜNG 8M XE HƠI TRÁNH THÔNG - KO LỘ GIỚI - NẰM CẠNH AOEN - NGANG HIẾM HƠN 5m2, 2 TẦNG ,","5,3 tỷ",62 m²,"85,48 tr/m²",2 Phòng ngủ,2 WC,"Bình Tân, Hồ Chí Minh"
"CHÍNH CHỦ BÁN CĂN NHÀ QUANG TRUNG - NGAY NGÃ 5 CHUỒNG CHÓ DIỆN TÍCH 73M2, GIÁ 7,5TỶ 0946,746,009","7,5 tỷ",73 m²,"102,74 tr/m²",2 Phòng ngủ,2 WC,"Gò Vấp, Hồ Chí Minh"
"SỔ HỒNG RIÊNG - CÔNG CHỨNG NGAY - NHÀ ĐẸP CHỈ 1.5 TỶ ÂU CƠ, KHU VĂN HOÁ TÂN BÌNH","1,5 tỷ",12 m²,125 tr/m²,,,"Tân Bình, Hồ Chí Minh"
Chính chủ bán nhà đối diện Aeon Mail Long Biên!,"8,5 tỷ",39 m²,"217,95 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán nhà Xã Đàn2,Đống Đa Hà Nội diện tích 54m2 x 5t . Giá 19tỷ",19 tỷ,54 m²,"351,85 tr/m²",4 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
TRUNG TÂM CẦU GIẤY - NHÀ ĐẸP 5 TẦNG - NGÕ RỘNG 3M - 10M RA Ô TÔ - 50M RA MẶT PHỐ - SỔ ĐẸP - Ở SƯỚNG,"8,6 tỷ",30 m²,"286,67 tr/m²",3 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
"Hiếm! Chính chủ bán nhà trung tâm Tân Phú, dòng tiền hiện tại 8tr/tháng. LH ngay!","4,2 tỷ",32 m²,"131,25 tr/m²",,,"Tân Phú, Hồ Chí Minh"
"Hoàng Ngân, Thanh Xuân, ngõ thông, ôtô vào tận cửa, tiện kinh doanh, SĐCC, 77m2,MT 6,6m, hơn 13 tỷ","13,8 tỷ",77 m²,"179,22 tr/m²",,,"Thanh Xuân, Hà Nội"
"BÁN GẤP NHÀ ĐẸP Ở NGAY,SỐ VUÔNG ĐÉT,36M2,5 TẦNG NGÕ THÔNG ,PHÚ LÃM HÀ ĐÔNG, GIÁ 4,98 TỶ","4,98 tỷ",40 m²,"124,5 tr/m²",3 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
"PHỐ CỔ LINH, P.THẠCH BÀN, chỉ với 10,3 tỷ 1 căn nhà 6 tầng, DT 50m2, MT 4.5m, 3PN full nội thất","10,3 tỷ",50 m²,206 tr/m²,3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Mặt ngõ oto tránh Hồng Hà DT 85m, 6 tầng,mt 3.6m Ba Đình, kinh doanh đỉnh.","28,5 tỷ",85 m²,"335,29 tr/m²",6 Phòng ngủ,4 WC,"Ba Đình, Hà Nội"
"Chính chủ bán nhà Phố LIÊN TRÌ - HOÀN KIẾM - 120m ,9 tầng - Thang máy - Gara Ô tô - Giá 59 tỷ",59 tỷ,119 m²,"495,8 tr/m²",15 Phòng ngủ,15 WC,"Hoàn Kiếm, Hà Nội"
"Bán nhà ngõ 77 Xuân La, Tây Hồ, 6 tầng 38m2 - Mỗi tầng 1 phòng, có thang máy, có nội thất, 8,x tỷ","8,6 tỷ",38 m²,"226,32 tr/m²",4 Phòng ngủ,5 WC,"Tây Hồ, Hà Nội"
Bán nhà phố Thái Hà thông 2 tuyến phố - 10m ra ôtô tránh - 2 thoáng - dân xây siêu đẹp - 50m2 5tầng,8 tỷ,50 m²,160 tr/m²,3 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"Bán nhà dân ở Phú Thượng - Tây Hồ - 45m2, 4 tầng - MT rộng - Cầu thang giữa - Gần phố","8,1 tỷ",45 m²,180 tr/m²,4 Phòng ngủ,3 WC,"Tây Hồ, Hà Nội"
"Nhà 2 tầng xinh xắn, dt: 3x7m Trần Xuân Soạn, Quận 7, giá 2,4 tỷ","2,4 tỷ",22 m²,"109,09 tr/m²",2 Phòng ngủ,2 WC,"Quận 7, Hồ Chí Minh"
"Bán nhà Xuân La, Tây Hồ - Thang máy - ô tô - sát phố - lô góc - 35m2 x 6 Tầng, mt 4.2m. Nhỉnh 7 Tỷ","7,8 tỷ",35 m²,"222,86 tr/m²",4 Phòng ngủ,5 WC,"Tây Hồ, Hà Nội"
"Bán nhà 2,95 tỷ DTSD 50m nhà 2 tầng, 566/72/45A Ng Thái Sơn, P5, Gò Vấp, TPHCM","2,95 tỷ",25 m²,118 tr/m²,2 Phòng ngủ,2 WC,"Gò Vấp, Hồ Chí Minh"
Bán nhà khu phân lô Giang Biên- Oto tránh- Có vỉa hè- Nhà đẹp ở luôn 60m2 4 tầng mt4.2m,"15,5 tỷ",60 m²,"258,33 tr/m²",,,"Long Biên, Hà Nội"
"Số 1 thị trường - Hẻm 8m Bạch Đằng, P24, BT - DT: 4x24m, vuông vức (4 tầng BTCT) Chỉ 15,5 tỷ TL","15,5 tỷ",96 m²,"161,46 tr/m²",,,"Bình Thạnh, Hồ Chí Minh"
"Hơn 30 tỷ, bán gấp tòa căn hộ dòng tiền phố Hồ Tùng Mậu- bao quanh 11 trường ĐH- đầu tư hái ra tiền","34,5 tỷ",100 m²,345 tr/m²,26 Phòng ngủ,27 WC,"Cầu Giấy, Hà Nội"
"CHDV UNG VĂN KHIÊM - P25 BÌNH THẠNH ĐẸP NHẤT KHU (5,3X15) 5 TẦNG",10 tỷ,80 m²,125 tr/m²,13 Phòng ngủ,13 WC,"Bình Thạnh, Hồ Chí Minh"
"Sở hữu ngay căn hộ dòng thu 1,4 tỷ/ năm tại Trâu Quỳ","30,3 tỷ",210 m²,"144,29 tr/m²",58 Phòng ngủ,58 WC,"Gia Lâm, Hà Nội"
Siêu phẩm! Căn góc 3 mặt thoáng - Hẻm 6m Thích Quảng Đức - Sẵn 4 tầng BTCT (DT: 8x8m) Chỉ 11 tỷ TL,11 tỷ,64 m²,"171,88 tr/m²",,,"Phú Nhuận, Hồ Chí Minh"
Bán nhà 4 tấng dân xây BTCT chính chủ 60m,"6,8 tỷ",60 m²,"113,33 tr/m²",4 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"Bán nhà siêu đẹp hiện đại 4 tầng, gần nhà máy bia Thanh Hóa, phường Đông Vệ, TP. Thanh Hóa","5,99 tỷ",80 m²,"74,88 tr/m²",4 Phòng ngủ,4 WC,"Thanh Hóa, Thanh Hóa"
Lô góc Hào Nam - ngõ thông Đê La Thành - nhà 2 mặt tiền rộng - ô tô vào nhà,16 tỷ,61 m²,"262,3 tr/m²",,,"Đống Đa, Hà Nội"
Chính chủ bán nhà phố Phúc Lợi,"5,75 tỷ",35 m²,"164,29 tr/m²",,,"Long Biên, Hà Nội"
"Chủ Ngộp Bán Nhà 2 tầng, Hẻm Hồ Bá Phấn, PL A, DT đất 90,6m2, ngang 4,2m, Giá 5,4 tỷ, Sân rộng","5,39 tỷ","90,6 m²","59,49 tr/m²",3 Phòng ngủ,2 WC,"Quận 9, Hồ Chí Minh"
Bán nhà đường số 79- đường 85 - đường 45 . đường 43 phường tân quy Quận 7 .dt: 8x20 ; 10x20; 7x20m,"29,5 tỷ",144 m²,"204,86 tr/m²",4 Phòng ngủ,4 WC,"Quận 7, Hồ Chí Minh"
"Bán nhà 5 Tầng 40 m -MT 6 M SDCC PHÂN LÔ Phố VỌNG Ô TÔ ĐỖ CỬA - NGÕ THÔNG KO QH SĐCC CHỈ 11,7tỷ","11,7 tỷ",40 m²,"292,5 tr/m²",8 Phòng ngủ,5 WC,"Hai Bà Trưng, Hà Nội"
"BIỆT THỰ HXH 10M KHU BÀN CỜ XÔ VIẾT NGHỆ TĨNH, P24 BÌNH THẠNH GẦN Q1, Q3 90m 3 TẦNG 8PN, 11.x Tỷ","11,8 tỷ",90 m²,"131,11 tr/m²",6 Phòng ngủ,6 WC,"Bình Thạnh, Hồ Chí Minh"
"BÁN NHÀ 30m2, 5 TẦNG, FULL NỘI THẤT YÊN NGHĨA HÀ ĐÔNG (T11.288.316)","4,6 tỷ",30 m²,"153,33 tr/m²",3 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
"Bán nhà Cổ Linh - Thạch Bàn. Gần khu đô thị Garden City. Thang máy, full nội thất. LH 0965 858 ***","7,85 tỷ",41 m²,"191,46 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán nhà PL ngõ rộng đẹp nhất Tân Mai, 60m2 x 5 tầng, vỉa hè, Gara, 16.8 Tỷ","16,8 tỷ",60 m²,280 tr/m²,7 Phòng ngủ,5 WC,"Hoàng Mai, Hà Nội"
Bán căn 5 tầng đẹp - ô tô vào nhà - ngõ ô tô tránh,"10,9 tỷ",42 m²,"259,52 tr/m²",4 Phòng ngủ,4 WC,"Hai Bà Trưng, Hà Nội"
Nhà lê văn quới gần 4 xã 4x20m 4 tấm đường 8m,"6,86 tỷ",80 m²,"85,75 tr/m²",5 Phòng ngủ,6 WC,"Bình Tân, Hồ Chí Minh"
"Bán chung cư mini tại Phường Tân Thành, Tân Phú, Hồ Chí Minh, 17,5 tỷ, 528 m2 SD","17,5 tỷ",128 m²,"136,72 tr/m²",,,"Tân Phú, Hồ Chí Minh"
"Duy nhất! Lê Trọng Tấn, 46m2, 7.9 tỷ, đẹp rộng, thoáng, rẻ, sổ vuông, gần ô tô","7,9 tỷ",46 m²,"171,74 tr/m²",4 Phòng ngủ,3 WC,"Thanh Xuân, Hà Nội"
Mặt ngõ 68 Cầu Giấy - to hơn mặt phố - 60m2 4T MT 4.5m - sát quận ủy Cầu Giấy - kinh doanh đỉnh,"19,6 tỷ",60 m²,"326,67 tr/m²",4 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
"Đây rồi! Nhà HOÀNG VĂN THÁI, 42m, 8 tỷ, ngõ nông sát ô tô, ở kết hợp kinh doanh đẹp",8 tỷ,42 m²,"190,48 tr/m²",4 Phòng ngủ,3 WC,"Thanh Xuân, Hà Nội"
"Nét! Nhà Phan Đình Giót, hồ Phương Liệt, 46m2, thoáng, gần hồ, ô tô, đẹp sang, chỉ 9.2 tỷ","9,2 tỷ",46 m²,200 tr/m²,4 Phòng ngủ,3 WC,"Thanh Xuân, Hà Nội"
"Đẹp! Nhà TÔN THẤT TÙNG, 42m, nhỉnh 9 tỷ, vị trí đắc địa, ngõ rộng, thoáng, sổ vuông, gần ô tô",9 tỷ,42 m²,"214,29 tr/m²",4 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"Bán nhà PHƯƠNG MAI, 45m, 9 tỷ, ngõ nông, gần hồ, gần ô tô, đẹp thoáng dân trí cao",9 tỷ,45 m²,200 tr/m²,3 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"Chính chủ bán nhà Tam Trinh 95m2 7 tầng 25 phòng đường ô tô, giá 27 tỷ có TL",27 tỷ,95 m²,"284,21 tr/m²",25 Phòng ngủ,25 WC,"Hoàng Mai, Hà Nội"
"Phố hiếm nhà bán Tô Vĩnh Diện, lô góc 3 thoáng, 65m2 4 tầng, xây CMNN, ở & kinh doanh đỉnh, giá tốt","12,8 tỷ",65 m²,"196,92 tr/m²",4 Phòng ngủ,3 WC,"Thanh Xuân, Hà Nội"
"Ngay Quán Nam, Hoàng Huy, Eone - Nhà 100m2x 4 tầng mặt tiền 5m: 2 p khách, 4ngủ, thờ, bếp ăn","9,7 tỷ",100 m²,"96,99 tr/m²",4 Phòng ngủ,5 WC,"Lê Chân, Hải Phòng"
"Rẻ hơn 1 tỷ! Bán nhà ngõ Trường Chinh, 38m*5 tầng, trước nhà 3m, Ở & Kinh doanh tốt, ACE nhanh tay!","9,6 tỷ",38 m²,"252,63 tr/m²",3 Phòng ngủ,,"Đống Đa, Hà Nội"
"Bán nhà riêng tại Xã Thành Công, Phổ Yên, Thái Nguyên, giá tốt 2ty92,6 triệu, 610m2","2,92 tỷ",610 m²,"4,79 tr/m²",3 Phòng ngủ,2 WC,"Phổ Yên, Thái Nguyên"
Tôi chính chủ bán nhà số 8 ngõ 43 phố Phùng Chí Kiên,12 tỷ,45 m²,"266,67 tr/m²",3 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
"Chính chủ cần bán nhà 67/44 đường Số 3, phường 8, Gò Vấp, TPHCM. Giá 4,380 tỷ","4,38 tỷ",30 m²,146 tr/m²,2 Phòng ngủ,2 WC,"Gò Vấp, Hồ Chí Minh"
"Tôi chủ nhà cần bán chung cư mini căn nhà 7,5 tầng ở số nhà 65 ngõ 337 Định Công","14,58 tỷ",53 m²,275 tr/m²,12 Phòng ngủ,13 WC,"Hoàng Mai, Hà Nội"
NHÀ MỚI NGUYÊN - ĐẸP LONG LANH - FULL NỘI THẤT - Ô TÔ ĐỖ CỔNG - KHU DÂN CƯ ĐÔNG ĐÚC - GẦN PHỐ.,"3,93 tỷ",30 m²,131 tr/m²,3 Phòng ngủ,3 WC,"Gia Lâm, Hà Nội"
"Bán căn nhà phố Hữu Hưng, Đại Mỗ, Nam Từ Liêm. Ngõ oto 33m2*5T, gía 4.65 tỷ","4,65 tỷ",33 m²,"140,91 tr/m²",4 Phòng ngủ,4 WC,"Nam Từ Liêm, Hà Nội"
"* Siêu phẩm mặt ngõ kinh doanh - Thụy Khuê - Tây Hồ* 38m2, 4 tầng, mt bề thế 6.1m, chỉ nhỉnh 9 tỷ","9,3 tỷ",38 m²,"244,74 tr/m²",5 Phòng ngủ,5 WC,"Tây Hồ, Hà Nội"
"Bán nhà 1 lầu 167m2 gần chợ Đồn, phường Bửu Hoà, Biên Hoà, Đồng Nai","2,75 tỷ",167 m²,"16,47 tr/m²",4 Phòng ngủ,3 WC,"Biên Hòa, Đồng Nai"
"Bán nhà riêng tại Hồ Thành Biên, P4, Quận 8| Giá tốt 3,18 tỷ 75m2, 5PN, 4WC, chính chủ. Full NT","3,18 tỷ",75 m²,"42,4 tr/m²",5 Phòng ngủ,4 WC,"Quận 8, Hồ Chí Minh"
"Chính chủ bán nhà Thạch Bàn 43m2, 6 tầng mới, gara oto, thang máy, giá 9.3 tỷ","9,3 tỷ",43 m²,"216,28 tr/m²",,,"Long Biên, Hà Nội"
BÁN NHÀ CỔ NHUẾ - DÂN XÂY CHẮC CHẮN - 4 TẦNG - NHỈNH 5TỶ - o to đỗ cửa,"5,95 tỷ",35 m²,170 tr/m²,,,"Bắc Từ Liêm, Hà Nội"
"Bán gấp nhà tại đường 872 Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh, 7,6 tỷ, 62m2 có thương lượng","7,6 tỷ",62 m²,"122,58 tr/m²",4 Phòng ngủ,6 WC,"Gò Vấp, Hồ Chí Minh"
"SIÊU PHẨM, NHÀ 6 TẦNG THANG MÁY MẶT TIỀN 4.6M, SỔ ĐỎ HOA KHÔI NÓI KHÔNG VỚI QUY HOẠCH","5,8 tỷ",23 m²,"252,17 tr/m²",3 Phòng ngủ,4 WC,"Tây Hồ, Hà Nội"
"BÁN NHANH VỊ TRÍ GÓC VÀNG PHỐ AN THƯỢNG, DÒNG THU CAO TRÊN 1TY2/NĂM",25 tỷ,110 m²,"227,27 tr/m²",9 Phòng ngủ,10 WC,"Ngũ Hành Sơn, Đà Nẵng"
"Bán nhà đẹp HXH - Phường Linh Đông, Phạm Văn Đồng - TP. Thủ Đức, 56m2, Giá 6,68 tỷ (TL)","6,68 tỷ",56 m²,"119,29 tr/m²",4 Phòng ngủ,5 WC,"Thủ Đức, Hồ Chí Minh"
"Bán nhà Giáp Ngoại Giao Đoàn, Xuân La - Thang máy - ô tô - kinh doanh - 50m2 x 6 Tầng. Nhỉnh 14 Tỷ","14,78 tỷ",50 m²,"295,6 tr/m²",3 Phòng ngủ,5 WC,"Tây Hồ, Hà Nội"
"SIÊU PHẨM 3 TẦNG MỚI TINH HXH TRUNG TÂM P. TÂN CHÁNH HIỆP CHỈ 5,05 TỶ","5,05 tỷ",56 m²,"90,18 tr/m²",3 Phòng ngủ,4 WC,"Quận 12, Hồ Chí Minh"
"BÁN CHDV XÂY MỚI FULL NỘI THÂT ,THANG MÁY ,HẺM XE HƠI,80M2, CHỈ HƠN 9 ĐỒNG.","9,99 tỷ",80 m²,"124,88 tr/m²",13 Phòng ngủ,13 WC,"Bình Thạnh, Hồ Chí Minh"
"Bán nhà riêng tại Phú Thượng, 5,75 tỷ, 32m2 đẹp, nhiều tiện ích","5,75 tỷ",32 m²,"179,69 tr/m²",3 Phòng ngủ,3 WC,"Tây Hồ, Hà Nội"
"Bán nhà riêng tại Ấp 1, xã Lạc Tấn, 2,9 tỷ, 916m2, 4PN + 2WC + ngõ vào rộng","2,9 tỷ",916 m²,"3,17 tr/m²",4 Phòng ngủ,2 WC,"Tân Trụ, Long An"
"( Chính chủ )Bán nhà Nguyễn Chánh, DT 72m2 x MT 5.5m, vị trí lô góc, gần mặt phố, đường 3 oto tránh","26,3 tỷ",72 m²,"365,28 tr/m²",,,"Cầu Giấy, Hà Nội"
NHÀ CHÍNH CHỦ MẶT PHỐ ĐỘI CẤN. VỊ TRÍ ĐẸP- HIẾM- TRUNG TÂM BA ĐÌNH,"18,5 tỷ",56 m²,"330,36 tr/m²",,,"Ba Đình, Hà Nội"
"BÁN NHÀ KHUẤT DUY TIẾN - THANH XUÂN 32m2/ 6 Tầng giá 7,6 tỷ - NGÕ THÔNG","7,6 tỷ",32 m²,"237,5 tr/m²",4 Phòng ngủ,4 WC,"Thanh Xuân, Hà Nội"
"Nhà phố 3 lầu 5 phòng full nội thất cao cấp hẻm nhựa 6m, xe hơi vào tận nhà khu VIP Phan Xích Long","7,95 tỷ",39 m²,"203,85 tr/m²",5 Phòng ngủ,4 WC,"Phú Nhuận, Hồ Chí Minh"
"Bán nhà Đa Sỹ, nhà mới, ô tô đỗ cửa, nội thất xịn xò, ô chờ thang máy, 55/33 m2, 6 tỷ",6 tỷ,55 m²,"109,09 tr/m²",3 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
Bán nhà mới trệt lầu khu Phú An dt 4.5x18 tây nam 3 pn giá 3.29 tỷ,"3,29 tỷ",81 m²,"40,62 tr/m²",,,"Cái Răng, Cần Thơ"
"Bán nhà riêng tại đường 30, Phường 6, Gò Vấp, HCM, giá ưu đãi 20,9 tỷ VND, 200m2","20,9 tỷ",200 m²,"104,5 tr/m²",15 Phòng ngủ,15 WC,"Gò Vấp, Hồ Chí Minh"
"Nhà đẹp phố Lê Thánh Tông, BDS giá trị đầu tư ở sướng đang có dòng tiền cho thuê hiệu quả",13 tỷ,45 m²,"288,89 tr/m²",4 Phòng ngủ,5 WC,"Hoàn Kiếm, Hà Nội"
"Bán CC mini Nguyễn Khang, 12 tỷ, 55m2, 9PN, 9WC, pháp lý đầy đủ",12 tỷ,55 m²,"218,18 tr/m²",9 Phòng ngủ,9 WC,"Cầu Giấy, Hà Nội"
Chính Chủ Bán Nhà Cấp4 ( 5x20m )- Đường 20 - Khu Bên Sông - Hiệp Bình Chánh - Sau GIGAMALL,"8,99 tỷ",102 m²,"88,14 tr/m²",1 Phòng ngủ,1 WC,"Thủ Đức, Hồ Chí Minh"
"Nhà mặt tiền hẻm 3,7 x 12 = 4,5 tỷ. Hẻm 7m xe tải quay đầu. Phù hợp kinh doanh nhỏ","4,5 tỷ","40,1 m²","112,22 tr/m²",3 Phòng ngủ,1 WC,"Gò Vấp, Hồ Chí Minh"
"Bán Nhà Riêng 30m2, 8,55 tỷ, Trần Duy Hưng, p Trung Hòa, Cầu Giấy, Hà Nội - Giá tốt, view đẹp","8,55 tỷ",30 m²,285 tr/m²,3 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
"Chính chủ bán nhà riêng mặt phố Quyết Thắng, Yên Nghĩa, Hà Đông. Vị trí đắc địa, kd thuận tiện","14,9 tỷ",93 m²,"160,22 tr/m²",,,"Hà Đông, Hà Nội"
